permit_number,supervisor,contractor_id,contractor_phone,district_name,governorate_name,location,supervisor_entered_by_inspector,violation_status_ar,violation_name,violation_code,media_count,ַ׃ד ַבדÞַזב
NULL,No data,7001554067,569092936,״זםÞ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.739505199557737,""longitude"":46.787679812704084}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד הÙַÝֹ דזÞÚ ַבÚדב ֳֻהֱַ ַבÚדב זָÚֿ ַבַהÊוֱַ דהו, 3/26 ,4,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.800447164261165,""longitude"":46.62689163437659}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ֿׁד ַבֽÝׁ זֵÚַֹֿ ַבַֽבֹ Úבל דַ ßַהÊ Úבםו ָÚֿ ַבַהÊוֱַ דה ַבÚדב Ýם ַבדזÞÚ, 3/6 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהÝב,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.81048803845154,""longitude"":46.60596303846302}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ַבַבÊַׂד ַָװÊַׁ״ַÊ ֳדַßה ַ׃Ê־ַֿד ז״ׁÞ Êׁßםָ ַבֽזַּׂ ַבדִÞÊֹ, 3/44 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.814782674207965,""longitude"":46.647490999610966}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ֿׁד ַבֽÝׁ זֵÚַֹֿ ַבַֽבֹ Úבל דַ ßַהÊ Úבםו ָÚֿ ַבַהÊוֱַ דה ַבÚדב Ýם ַבדזÞÚ, 3/6 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהÝב,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.81048803845154,""longitude"":46.60596303846302}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ַבÊַׂד ַבדÞַזב ָזײÚ װÚַׁ ַבּוֹ ַב־ֿדםֹ ַָבֵײַÝֹ ֵבל װÚַׁ ַבדÞַזב זַ׃דו Úבל ַבֽזַּׂ ַבדִÞÊֹ, 3/1 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.81540591963793,""longitude"":46.59393265000159}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,ַבÊװזםה ־ַּׁ ה״ַÞ דה״Þֹ ַבÚדב ַבדׁ־ױֹ, 3/28 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.81540591963793,""longitude"":46.59393265000159}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,ׁדם ד־בÝַÊ ַבֽÝׁ ַָּהָ ַבדװׁזÚ ַֻהֱַ ֳÚדַב דװַׁםÚ ַבָהםֹ ַבÊֽÊםֹ, 3/51 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.81540591963793,""longitude"":46.59393265000159}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד Êּֿםֿ Êׁ־םױ ֳÚדַב דװַׁםÚ ַבָהםֹ ַבÊֽÊםֹ ֳז Úֿד Êדֿםֿ דֹֿ ַבÊׁ־םױ, 3/4 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהÝב,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.812357830134737,""longitude"":46.63411550428333}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד הÙַÝֹ דזÞÚ ַבÚדב ֳֻהֱַ ַבÚדב זָÚֿ ַבַהÊוֱַ דהו, 3/26 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהÝב,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.812357830134737,""longitude"":46.63411550428333}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ֿׁד ַבֽÝׁ זֵÚַֹֿ ַבַֽבֹ Úבל דַ ßַהÊ Úבםו ָÚֿ ַבַהÊוֱַ דה ַבÚדב Ýם ַבדזÞÚ, 3/6 ,5,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהÝב,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.827938330282638,""longitude"":46.61008291150989}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ֿׁד ַבֽÝׁ זֵÚַֹֿ ַבַֽבֹ Úבל דַ ßַהÊ Úבםו ָÚֿ ַבַהÊוֱַ דה ַבÚדב Ýם ַבדזÞÚ, 3/6 ,5,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהÝב,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.817343803369166,""longitude"":46.73299245740833}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,ַבÊװזםה ־ַּׁ ה״ַÞ דה״Þֹ ַבÚדב ַבדׁ־ױֹ, 3/28 ,5,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,״זםÞ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.760706643962024,""longitude"":46.7718869660244}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ֿׁד ַבֽÝׁ זֵÚַֹֿ ַבַֽבֹ Úבל דַ ßַהÊ Úבםו ָÚֿ ַבַהÊוֱַ דה ַבÚדב Ýם ַבדזÞÚ, 3/6 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
2103405,No data,7001554067,569092936,ַבדÚםׂםבֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.784293,""longitude"":46.836947}]",װׁßֹ ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ÊזÝׁ בזֹֽ בָםַהַÊ ַבÊױׁםֽ ַבהÙַדםֹ (ÊÝַױםב ַבׁ־ױֹ בבדװׁזÚ - ַ׃ד ַבדÞַזב - דֹֿ ַבדװׁזÚ), 3/57 ,4,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
2103508,No data,7001554067,569092936,ַבדÚםׂםבֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.790970,""longitude"":46.847602}]",װׁßֹ ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ÊזÝׁ בזֹֽ בָםַהַÊ ַבÊױׁםֽ ַבהÙַדםֹ (ÊÝַױםב ַבׁ־ױֹ בבדװׁזÚ - ַ׃ד ַבדÞַזב - דֹֿ ַבדװׁזÚ), 3/57 ,4,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.779875928858452,""longitude"":46.699676058204716}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד הÙַÝֹ דזÞÚ ַבÚדב ֳֻהֱַ ַבÚדב זָÚֿ ַבַהÊוֱַ דהו, 3/26 ,4,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.779875928858452,""longitude"":46.699676058204716}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,ַבÊװזםה ־ַּׁ ה״ַÞ דה״Þֹ ַבÚדב ַבדׁ־ױֹ, 3/28 ,4,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.779875928858452,""longitude"":46.699676058204716}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד זײÚ בזַֽÊ Êֽדב ַ׃ד דַבß ַבÚדב זַ׃ד ַבַ׃Êװַׁם ַבדװׁÝ זַ׃ד ַבדÞַזב (בßב דזÞÚ), 3/10 ,4,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,ַבהֿזֹ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.779875928858452,""longitude"":46.699676058204716}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ַבַבÊַׂד ַָװÊַׁ״ַÊ ֳדַßה ַ׃Ê־ַֿד ז״ׁÞ Êׁßםָ ַבֽזַּׂ ַבדִÞÊֹ, 3/44 ,4,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
NULL,No data,7001554067,569092936,״זםÞ,דֿםהֹ ַבׁםַײ,"[{""latitude"":24.780034219613754,""longitude"":46.784933230672834}]",ַבַÊױַבַÊ ַב׃Úזֿםֹ,דÞָזב,Úֿד ַבַבÊַׂד ַָװÊַׁ״ַÊ ֳדַßה ַ׃Ê־ַֿד ז״ׁÞ Êׁßםָ ַבֽזַּׂ ַבדִÞÊֹ, 3/44 ,6,װׁßֹ ַבָֽׁ ַבדÊז׃״ ַבֽֿםֻו בבַÊױַבַÊ ַב׃בßםו
